E200:      { 100 2 ---  110 2 ---  101 2 ---  111 2 --- }
E22A:      { 2A0 2 ---  2AD 2 ---  2A1 2 ---  2AE 2 --- }
E22B:      { 2A2 2 ---  2AF 2 ---  2A3 2 ---  2B0 2 --- }
E22C:      { 13C 2 ---  140 2 ---  13D 2 ---  128 2 --- }
E22D:      { 128 2 ---  128 2 ---  13E 2 ---  128 2 --- }
E22E:      { 13F 2 ---  128 2 ---  128 2 ---  128 2 --- }
E22F:      { 2B1 2 ---  1AE 2 ---  2B2 2 ---  1AE 2 --- }
E230:      { 2B3 2 ---  2BF 2 ---  19C 2 ---  2C0 2 --- }
E231:      { 19C 2 ---  2C1 2 ---  2B4 2 ---  2C2 2 --- }
E232:      { 2B5 2 ---  1AE 2 ---  2B6 2 ---  2C3 2 --- }
E233:      { 2B7 2 ---  2C4 2 ---  2B8 2 ---  1AE 2 --- }
E234:      { 2B9 2 ---  1AE 2 ---  2BA 2 ---  1AE 2 --- }
E235:      { 2BB 2 ---  1AE 2 ---  2BC 2 ---  1AE 2 --- }
E236:      { 2BD 2 ---  1AE 2 ---  2BE 2 ---  2C5 2 --- }
E237:      { 141 2 ---  128 2 ---  128 2 ---  128 2 --- }
E238:      { 128 2 ---  128 2 ---  128 2 ---  144 2 --- }
E239:      { 128 2 ---  145 2 ---  128 2 ---  146 2 --- }
E23A:      { 142 2 ---  147 2 ---  143 2 ---  148 2 --- }
E23B:      { 128 2 ---  128 2 ---  128 2 ---  128 2 --- }
E23C:      { 128 2 ---  128 2 ---  128 2 ---  154 2 --- }
E23D:      { 149 2 ---  155 2 ---  14A 2 ---  156 2 --- }
E23E:      { 14B 2 ---  157 2 ---  14C 2 ---  158 2 --- }
E23F:      { 14D 2 ---  159 2 ---  14E 2 ---  159 2 --- }
E240:      { 14F 2 ---  159 2 ---  150 2 ---  15A 2 --- }
E241:      { 151 2 ---  15B 2 ---  128 2 ---  15C 2 --- }
E242:      { 152 2 ---  128 2 ---  153 2 ---  15D 2 --- }
E243:      { 15E 2 ---  167 2 ---  15F 2 ---  168 2 --- }
E244:      { 160 2 ---  169 2 ---  161 2 ---  159 2 --- }
E245:      { 162 2 ---  159 2 ---  159 2 ---  159 2 --- }
E246:      { 159 2 ---  159 2 ---  159 2 ---  159 2 --- }
E247:      { 163 2 ---  159 2 ---  164 2 ---  16A 2 --- }
E248:      { 165 2 ---  16B 2 ---  128 2 ---  128 2 --- }
E249:      { 128 2 ---  128 2 ---  166 2 ---  16C 2 --- }
E24A:      { 16D 2 ---  17A 2 ---  16E 2 ---  17B 2 --- }
E24B:      { 16F 2 ---  17C 2 ---  170 2 ---  159 2 --- }
E24C:      { 171 2 ---  159 2 ---  159 2 ---  17D 2 --- }
E24D:      { 172 2 ---  17E 2 ---  173 2 ---  17F 2 --- }
E24E:      { 174 2 ---  180 2 ---  159 2 ---  181 2 --- }
E24F:      { 175 2 ---  159 2 ---  176 2 ---  159 2 --- }
E250:      { 177 2 ---  182 2 ---  178 2 ---  183 2 --- }
E251:      { 128 2 ---  128 2 ---  179 2 ---  184 2 --- }
E252:      { 185 2 ---  18E 2 ---  186 2 ---  18F 2 --- }
E253:      { 187 2 ---  190 2 ---  188 2 ---  191 2 --- }
E254:      { 159 2 ---  192 2 ---  189 2 ---  193 2 --- }
E255:      { 159 2 ---  159 2 ---  18A 2 ---  194 2 --- }
E256:      { 159 2 ---  195 2 ---  159 2 ---  196 2 --- }
E257:      { 18B 2 ---  197 2 ---  18C 2 ---  198 2 --- }
E258:      { 128 2 ---  199 2 ---  18D 2 ---  19A 2 --- }
E259:      { 19B 2 ---  1AB 2 ---  19C 2 ---  1AC 2 --- }
E25A:      { 19D 2 ---  1AD 2 ---  19E 2 ---  1AE 2 --- }
E25B:      { 19F 2 ---  1AE 2 ---  1A0 2 ---  1AE 2 --- }
E25C:      { 1A1 2 ---  1AE 2 ---  1A2 2 ---  1AE 2 --- }
E25D:      { 1A3 2 ---  1AE 2 ---  1A4 2 ---  1AE 2 --- }
E25E:      { 1A5 2 ---  1AF 2 ---  1A6 2 ---  1AE 2 --- }
E25F:      { 1A7 2 ---  1AE 2 ---  1A8 2 ---  1AE 2 --- }
E260:      { 1A9 2 ---  1AE 2 ---  1AA 2 ---  1AE 2 --- }
E261:      { 1B0 2 ---  1C0 2 ---  1B1 2 ---  1C1 2 --- }
E262:      { 1B2 2 ---  1C2 2 ---  1B3 2 ---  1C3 2 --- }
E263:      { 1B4 2 ---  1C4 2 ---  1B5 2 ---  1C5 2 --- }
E264:      { 1B6 2 ---  1C6 2 ---  1B7 2 ---  1C7 2 --- }
E265:      { 1B8 2 ---  1C8 2 ---  1B9 2 ---  1C9 2 --- }
E266:      { 1BA 2 ---  1CA 2 ---  1BB 2 ---  1CB 2 --- }
E267:      { 1BC 2 ---  1CC 2 ---  1BD 2 ---  1CD 2 --- }
E268:      { 1BE 2 ---  1CE 2 ---  1BF 2 ---  1CF 2 --- }
E269:      { 1D0 2 ---  128 2 ---  1D1 2 ---  128 2 --- }
E26A:      { 1D2 2 ---  1DE 2 ---  1D3 2 ---  1DF 2 --- }
E26B:      { 1D4 2 ---  1E0 2 ---  1D5 2 ---  1E1 2 --- }
E26C:      { 1D6 2 ---  1E2 2 ---  1D7 2 ---  1E3 2 --- }
E26D:      { 1D8 2 ---  1E4 2 ---  1D9 2 ---  1E5 2 --- }
E26E:      { 1DA 2 ---  1E6 2 ---  1DB 2 ---  1E7 2 --- }
E26F:      { 1DC 2 ---  1E8 2 ---  1DD 2 ---  1E9 2 --- }
E270:      { 128 2 ---  132 2 x--  1EA 2 ---  1F4 2 --- }
E271:      { 132 2 xy-  1F5 2 ---  1EB 2 ---  128 2 --- }
E272:      { 1EC 2 ---  1F6 2 ---  1ED 2 ---  1F7 2 --- }
E273:      { 1EE 2 ---  1F8 2 ---  1EF 2 ---  1F9 2 --- }
E274:      { 1F0 2 ---  1FA 2 ---  1F1 2 ---  1FB 2 --- }
E275:      { 1F2 2 ---  1FC 2 ---  1F3 2 ---  1FD 2 --- }
E276:      { 1FE 2 ---  128 2 ---  128 2 ---  128 2 --- }
E277:      { 128 2 ---  20B 2 ---  1FF 2 ---  20C 2 --- }
E278:      { 200 2 ---  20D 2 ---  201 2 ---  20E 2 --- }
E279:      { 202 2 ---  128 2 ---  203 2 ---  20F 2 --- }
E27A:      { 1FF 2 -y-  210 2 ---  204 2 ---  211 2 --- }
E27B:      { 205 2 ---  212 2 ---  206 2 ---  213 2 --- }
E27C:      { 207 2 ---  214 2 ---  208 2 ---  215 2 --- }
E27D:      { 209 2 ---  216 2 ---  20A 2 ---  217 2 --- }
E27E:      { 218 2 ---  227 2 ---  219 2 ---  228 2 --- }
E27F:      { 21A 2 ---  229 2 ---  21B 2 ---  22A 2 --- }
E280:      { 21C 2 ---  22B 2 ---  21D 2 ---  22C 2 --- }
E281:      { 128 2 ---  22D 2 ---  21E 2 ---  22E 2 --- }
E282:      { 21F 2 ---  22F 2 ---  220 2 ---  230 2 --- }
E283:      { 221 2 ---  231 2 ---  222 2 ---  232 2 --- }
E284:      { 223 2 ---  233 2 ---  224 2 ---  234 2 --- }
E285:      { 225 2 ---  235 2 ---  226 2 ---  236 2 --- }
E286:      { 237 2 ---  247 2 ---  238 2 ---  248 2 --- }
E287:      { 239 2 ---  249 2 ---  23A 2 ---  24A 2 --- }
E288:      { 23B 2 ---  136 2 -y-  23C 2 ---  24B 2 --- }
E289:      { 23D 2 ---  24C 2 ---  23E 2 ---  24D 2 --- }
E28A:      { 23F 2 ---  24E 2 ---  240 2 ---  24F 2 --- }
E28B:      { 241 2 ---  250 2 ---  242 2 ---  251 2 --- }
E28C:      { 243 2 ---  252 2 ---  244 2 ---  128 2 --- }
E28D:      { 245 2 ---  253 2 ---  246 2 ---  254 2 --- }
E28E:      { 000 0 ---  000 0 ---  000 0 ---  000 0 --- }
E28F:      { 000 0 ---  000 0 ---  000 0 ---  000 0 --- }
E290:      { 12B 2 -y-  120 2 -y-  12C 2 -y-  121 2 -y- }
E291:      { 12D 2 -y-  122 2 -y-  12E 2 -y-  123 2 -y- }
E292:      { 128 2 -y-  124 2 -y-  12F 2 -y-  125 2 -y- }
E293:      { 130 2 -y-  126 2 -y-  128 2 -y-  127 2 -y- }
E294:      { 128 2 -y-  128 2 -y-  131 2 -y-  129 2 -y- }
E295:      { 132 2 -y-  128 2 -y-  128 2 -y-  128 2 -y- }
E296:      { 128 2 -y-  128 2 -y-  128 2 -y-  128 2 -y- }
E297:      { 128 2 -y-  12A 2 -y-  128 2 -y-  128 2 -y- }
E298:      { 128 2 ---  128 2 ---  128 2 ---  128 2 --- }
E299:      { 128 2 -y-  1D0 2 -y-  128 2 -y-  1D1 2 -y- }
E29A:      { 1DE 2 -y-  1D2 2 -y-  1DF 2 -y-  1D3 2 -y- }
E29B:      { 1E0 2 -y-  1D4 2 -y-  1E1 2 -y-  1D5 2 -y- }
E29C:      { 1E2 2 -y-  1D6 2 -y-  1E3 2 -y-  1D7 2 -y- }
E29D:      { 1E4 2 -y-  1D8 2 -y-  1E5 2 -y-  1D9 2 -y- }
E29E:      { 1E6 2 -y-  1DA 2 -y-  1E7 2 -y-  1DB 2 -y- }
E29F:      { 1E8 2 -y-  1DC 2 -y-  1E9 2 -y-  1DD 2 -y- }
E2A0:      { 110 2 -y-  100 2 -y-  111 2 -y-  101 2 -y- }
E2A1:      { 112 2 -y-  102 2 -y-  113 2 -y-  103 2 -y- }
E2A2:      { 114 2 -y-  104 2 -y-  115 2 -y-  105 2 -y- }
E2A3:      { 116 2 -y-  106 2 -y-  117 2 -y-  107 2 -y- }
E2A4:      { 118 2 -y-  108 2 -y-  119 2 -y-  109 2 -y- }
E2A5:      { 11A 2 -y-  10A 2 -y-  11B 2 -y-  10B 2 -y- }
E2A6:      { 11C 2 -y-  10C 2 -y-  11D 2 -y-  10D 2 -y- }
E2A7:      { 11E 2 -y-  10E 2 -y-  11F 2 -y-  10F 2 -y- }
E2A8:      { 1C0 2 -y-  1B0 2 -y-  1C1 2 -y-  1B1 2 -y- }
E2A9:      { 1C2 2 -y-  1B2 2 -y-  1C3 2 -y-  1B3 2 -y- }
E2AA:      { 1C4 2 -y-  1B4 2 -y-  1C5 2 -y-  1B5 2 -y- }
E2AB:      { 1C6 2 -y-  1B6 2 -y-  1C7 2 -y-  1B7 2 -y- }
E2AC:      { 1C8 2 -y-  1B8 2 -y-  1C9 2 -y-  1B9 2 -y- }
E2AD:      { 1CA 2 -y-  1BA 2 -y-  1CB 2 -y-  1BB 2 -y- }
E2AE:      { 1CC 2 -y-  1BC 2 -y-  1CD 2 -y-  1BD 2 -y- }
E2AF:      { 1CE 2 -y-  1BE 2 -y-  1CF 2 -y-  1BF 2 -y- }
E2B0:      { 100 1 ---  100 1 ---  100 1 ---  100 1 --- }
E2B1:      { 100 1 ---  100 1 ---  100 1 ---  101 1 --- }
E2B2:      { 100 1 ---  102 1 ---  100 1 ---  103 1 --- }
E2B3:      { 100 1 ---  104 1 ---  100 1 ---  105 1 --- }
E2B4:      { 100 1 ---  203 1 ---  100 1 ---  100 1 --- }
E2B5:      { 202 1 ---  202 1 ---  202 1 ---  202 1 --- }
E2B6:      { 100 1 ---  10E 1 ---  106 1 ---  10F 1 --- }
E2B7:      { 107 1 ---  110 1 ---  108 1 ---  111 1 --- }
E2B8:      { 109 1 ---  112 1 ---  10A 1 ---  113 1 --- }
E2B9:      { 10B 1 ---  114 1 ---  10C 1 ---  115 1 --- }
E2BA:      { 10D 1 ---  116 1 ---  105 1 ---  117 1 --- }
E2BB:      { 204 1 ---  208 1 ---  205 1 ---  209 1 --- }
E2BC:      { 206 1 ---  20A 1 ---  207 1 ---  20B 1 --- }
E2BD:      { 118 1 ---  122 1 ---  119 1 ---  123 1 --- }
E2BE:      { 11A 1 ---  124 1 ---  11B 1 ---  125 1 --- }
E2BF:      { 11C 1 ---  126 1 ---  11D 1 ---  127 1 --- }
E2C0:      { 11E 1 ---  128 1 ---  11F 1 ---  129 1 --- }
E2C1:      { 120 1 ---  12A 1 ---  121 1 ---  12B 1 --- }
E2C2:      { 20C 1 ---  212 1 ---  20D 1 ---  213 1 --- }
E2C3:      { 20E 1 ---  214 1 ---  20F 1 ---  215 1 --- }
E2C4:      { 210 1 ---  216 1 ---  211 1 ---  217 1 --- }
E2C5:      { 100 1 ---  218 1 ---  100 1 ---  100 1 --- }
E2C6:      { 12C 1 ---  136 1 ---  12D 1 ---  137 1 --- }
E2C7:      { 12E 1 ---  138 1 ---  12F 1 ---  139 1 --- }
E2C8:      { 130 1 ---  13A 1 ---  131 1 ---  13B 1 --- }
E2C9:      { 132 1 ---  13C 1 ---  133 1 ---  13D 1 --- }
E2CA:      { 134 1 ---  13E 1 ---  135 1 ---  13F 1 --- }
E2CB:      { 219 1 ---  221 1 ---  21A 1 ---  222 1 --- }
E2CC:      { 21B 1 ---  223 1 ---  21C 1 ---  224 1 --- }
E2CD:      { 21D 1 ---  225 1 ---  21E 1 ---  226 1 --- }
E2CE:      { 21F 1 ---  227 1 ---  220 1 ---  228 1 --- }
E2CF:      { 100 1 ---  100 1 ---  100 1 ---  229 1 --- }
E2D0:      { 100 1 ---  100 1 ---  140 1 ---  14B 1 --- }
E2D1:      { 141 1 ---  14C 1 ---  142 1 ---  14D 1 --- }
E2D2:      { 143 1 ---  14E 1 ---  144 1 ---  14F 1 --- }
E2D3:      { 145 1 ---  150 1 ---  146 1 ---  151 1 --- }
E2D4:      { 147 1 ---  152 1 ---  148 1 ---  153 1 --- }
E2D5:      { 149 1 ---  154 1 ---  14A 1 ---  155 1 --- }
E2D6:      { 22A 1 ---  234 1 ---  22B 1 ---  235 1 --- }
E2D7:      { 22C 1 ---  236 1 ---  22D 1 ---  237 1 --- }
E2D8:      { 22E 1 ---  238 1 ---  22F 1 ---  239 1 --- }
E2D9:      { 230 1 ---  23A 1 ---  231 1 ---  23B 1 --- }
E2DA:      { 232 1 ---  23C 1 ---  233 1 ---  23D 1 --- }
E2DB:      { 105 1 xy-  100 1 ---  156 1 ---  15F 1 --- }
E2DC:      { 157 1 ---  160 1 ---  158 1 ---  161 1 --- }
E2DD:      { 159 1 ---  162 1 ---  15A 1 ---  163 1 --- }
E2DE:      { 15B 1 ---  164 1 ---  15C 1 ---  165 1 --- }
E2DF:      { 15D 1 ---  166 1 ---  15E 1 ---  166 1 --- }
E2E0:      { 23E 1 ---  246 1 ---  166 1 ---  247 1 --- }
E2E1:      { 166 1 ---  248 1 ---  23F 1 ---  249 1 --- }
E2E2:      { 240 1 ---  166 1 ---  241 1 ---  24A 1 --- }
E2E3:      { 242 1 ---  24B 1 ---  243 1 ---  24C 1 --- }
E2E4:      { 244 1 ---  24D 1 ---  245 1 ---  24E 1 --- }
E2E5:      { 100 1 ---  100 1 ---  167 1 ---  173 1 --- }
E2E6:      { 168 1 ---  174 1 ---  169 1 ---  175 1 --- }
E2E7:      { 16A 1 ---  176 1 ---  16B 1 ---  177 1 --- }
E2E8:      { 16C 1 ---  178 1 ---  16D 1 ---  179 1 --- }
E2E9:      { 16E 1 ---  17A 1 ---  16F 1 ---  17B 1 --- }
E2EA:      { 170 1 ---  17C 1 ---  171 1 ---  17D 1 --- }
E2EB:      { 166 1 ---  17E 1 ---  172 1 ---  17F 1 --- }
E2EC:      { 24F 1 ---  259 1 ---  250 1 ---  25A 1 --- }
E2ED:      { 251 1 ---  25B 1 ---  252 1 ---  25C 1 --- }
E2EE:      { 253 1 ---  25D 1 ---  254 1 ---  25E 1 --- }
E2EF:      { 255 1 ---  181 1 ---  256 1 ---  181 1 --- }
E2F0:      { 257 1 ---  25F 1 ---  258 1 ---  260 1 --- }
E2F1:      { 100 1 ---  18B 1 ---  100 1 ---  18C 1 --- }
E2F2:      { 100 1 ---  100 1 ---  180 1 ---  18D 1 --- }
E2F3:      { 181 1 ---  181 1 ---  181 1 ---  181 1 --- }
E2F4:      { 182 1 ---  18E 1 ---  183 1 ---  18F 1 --- }
E2F5:      { 184 1 ---  190 1 ---  185 1 ---  191 1 --- }
E2F6:      { 186 1 ---  192 1 ---  187 1 ---  193 1 --- }
E2F7:      { 188 1 ---  194 1 ---  189 1 ---  195 1 --- }
E2F8:      { 166 1 ---  166 1 ---  18A 1 ---  196 1 --- }
E2F9:      { 261 1 ---  1C7 1 ---  262 1 ---  1C7 1 --- }
E2FA:      { 263 1 ---  267 1 ---  264 1 ---  268 1 --- }
E2FB:      { 265 1 ---  181 1 ---  181 1 ---  181 1 --- }
E2FC:      { 266 1 ---  269 1 ---  100 1 ---  100 1 --- }
E2FD:      { 100 1 ---  100 1 ---  100 1 ---  26A 1 --- }
E2FE:      { 100 1 ---  100 1 ---  197 1 ---  1A1 1 --- }
E2FF:      { 181 1 ---  181 1 ---  198 1 ---  1A2 1 --- }
